Column1;Rank;Mark;Competitor;DOB;Nat;Pos;Unnamed: 6;Venue;Date;Results Score
24;125;27:14.13;Terefe Zewdie MEREGA;23/10/1982;ETH;3;;Eugene, OR (USA);08/06/2008;1204
25;126;27:14.26;Fita BAYISSA;15/12/1972;ETH;1;;Oslo (NOR);04/07/1992;1203
26;127;27:14.34;Birhan NEBEBEW;14/08/1994;ETH;5;;Hayward Field, Eugene, OR (USA);31/05/2013;1203
27;128;27:14.43;Mathew KIMELI;01/04/1998;KEN;2;;Mestský Stadion, Ostrava (CZE);28/06/2017;1203
28;129;27:14.44;Fabián RONCERO;19/10/1970;ESP;1;;Lisboa (POR);04/04/1998;1203
29;130;27:14.53;Khalid SKAH;29/01/1967;MAR;2;;Ullevi Stadium, Göteborg (SWE);08/08/1995;1203
30;131;27:14.83;Edwin Cheruiyot SOI;03/03/1986;KEN;7;;Boudewijnstadion, Bruxelles (BEL);25/08/2006;1202
31;132;27:14.84;John KARIUKI;10/11/1986;KEN;2;;Oita (JPN);01/10/2006;1202
32;133;27:14.95;Ben TRUE;29/12/1985;USA;4;;JSerra Catholic HS, San Juan Capistrano, CA (USA);20/02/2021;1202
33;134;27:15.68;Raji ASSEFA;18/02/1986;ETH;11;;Blankers-Koen Stadion, Hengelo (NED);26/05/2007;1201
34;135;27:16.49;Kimutai KIPLIMO;10/12/1981;KEN;6;;Eugene, OR (USA);08/06/2008;1200
35;136;27:16.50;Salvatore ANTIBO;07/02/1962;ITA;1;;Helsinki (FIN);29/06/1989;1200
36;137;27:16.69;Teklemariam MEDHIN;24/06/1989;ERI;5;;Blankers-Koen Stadion, Hengelo (NED);27/05/2012;1200
37;138;27:16.99;Abdi ABDIRAHMAN;02/12/1978;USA;7;;Eugene, OR (USA);08/06/2008;1199
38;139;27:17.03;Isiah Kiplangat KOECH;19/12/1993;KEN;8;;Boudewijnstadion, Bruxelles (BEL);07/09/2012;1199
39;140;27:17.14;Kieran TUNTIVATE;16/02/1997;THA;5;;JSerra Catholic HS, San Juan Capistrano, CA (USA);20/02/2021;1199
40;141;27:17.18;Muktar EDRIS;14/01/1994;ETH;1;;Hengelo (NED);17/06/2015;1199
41;142;27:17.20;William Kiptum MUIGEI;30/03/1971;KEN;2;;Bislett Stadion, Oslo (NOR);22/07/1994;1199
42;143;27:17.29;Julien WANDERS;18/03/1996;SUI;9;;Hengelo (NED);17/07/2019;1199
43;144;27:17.48;Carlos LOPES;18/02/1947;POR;2;;Stockholm (SWE);02/07/1984;1198
44;145;27:17.82;Addis ABEBE;05/09/1970;ETH;2;;Helsinki (FIN);29/06/1989;1198
45;146;27:18.02;Shem KORORIA;25/09/1972;KEN;6;;Bruxelles (BEL);25/08/1995;1197
46;147;27:18.14;Jon BROWN;27/02/1971;GBR;4;;Bruxelles (BEL);28/08/1998;1197
47;148;27:18.32;Moses TANUI;20/08/1965;KEN;2;;Bruxelles (BEL);03/09/1993;1197
48;149;27:18.59;Juan Armando QUINTANILLA;19/04/1968;MEX;3;;Bislett Stadion, Oslo (NOR);22/07/1994;1197
49;150;27:18.74;Simon MAINA MUNYI;18/03/1978;KEN;5;;Blankers-Koen Stadion, Hengelo (NED);30/05/1999;1196
50;151;27:18.75;Akira AIZAWA;18/07/1997;JPN;1f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1196
51;152;27:18.86;Mosinet GEREMEW;12/02/1992;ETH;3;;Hengelo (NED);17/06/2015;1196
52;153;27:18.90;Tilahun REGASSA;18/01/1990;ETH;6;;Blankers-Koen Stadion, Hengelo (NED);27/05/2012;1196
53;154;27:19.34;Adugna TAKELE;26/02/1989;ETH;4;;Hengelo (NED);17/06/2015;1195
54;155;27:19.70;Chesari Kirui JACOB;06/04/1984;KEN;9;;Boudewijnstadion, Bruxelles (BEL);07/09/2012;1195
55;156;27:19.71;Leul GEBRESILASE;20/09/1992;ETH;1;;Herzogenaurach (GER);13/05/2016;1195
56;157;27:19.72;Fabiano Joseph NAASI;24/12/1985;TAN;6;;Blankers-Koen Stadion, Hengelo (NED);24/05/2008;1195
57;158;27:19.86;Yenew ALAMIREW;27/05/1990;ETH;3;;Blankers-Koen Stadion, Hengelo (NED);11/06/2017;1194
58;159;27:20.18;Leonard KORIR;10/12/1986;USA;13;;Olympic Stadium, London (GBR);04/08/2017;1194
59;160;27:20.34;Cleophas Kandie MEYAN;14/08/2000;KEN;4f3;;Prefectural Stadium, Kumagaya (JPN);19/09/2020;1194
60;161;27:20.38;Aloys NIZIGAMA;18/06/1966;BDI;1;;Crystal Palace, London (GBR);07/07/1995;1194
61;162;27:20.54;Tebalu ZAWUDE HEYI;02/11/1987;ETH;5;;Hengelo (NED);17/06/2015;1193
62;163;27:20.56;Mark NENOW;16/11/1957;USA;1;;Bruxelles (BEL);05/09/1986;1193
63;164;27:20.74;Leonard BARSOTON;21/10/1994;KEN;2f3;;Yamaguchi (JPN);10/10/2014;1193
64;165;27:20.97;Essa Ismail RASHED;14/12/1986;QAT;5;;Hengelo (NED);28/05/2006;1193
65;166;27:21.09;Timothy TOROITICH;10/10/1991;UGA;14;;Olympic Stadium, London (GBR);04/08/2017;1193
66;167;27:21.29;Luka KEITANY;22/07/1977;KEN;7;;Blankers-Koen Stadion, Hengelo (NED);30/05/1999;1192
67;168;27:21.32;Evans RUTTO;08/04/1978;KEN;3;;Villeneuve d'Ascq (FRA);17/06/2000;1192
68;169;27:21.40;Ali Hassan MAHBOOB;31/12/1981;BRN;1;;Wageningen (NED);30/05/2012;1192
69;170;27:21.46;Brahim BOUTAYEB;15/08/1967;MAR;1;;Olympic Stadium, Jamsil, Seoul (KOR);26/09/1988;1192
70;171;27:21.53;Dieter BAUMANN;09/02/1965;GER;1;;Braga (POR);05/04/1997;1192
71;172;27:21.55;Wilson Kipkemei BUSIENEI;18/08/1981;UGA;8;;Boudewijnstadion, Bruxelles (BEL);25/08/2006;1192
72;173;27:21.56;Paul Malakwen KOSGEI;22/04/1978;KEN;11;;Boudewijnstadion, Bruxelles (BEL);05/09/2003;1192
73;174;27:21.62;Paul LONYANGATA;12/12/1992;KEN;8;;Boudewijnstadion, Bruxelles (BEL);16/09/2011;1192
74;175;27:21.97;John MAINA;14/07/1993;KEN;3;;Yokohama (JPN);12/11/2016;1191
75;176;27:22.01;Simon ARUSEI;04/11/1977;KEN;6;;Hengelo (NED);28/05/2006;1191
76;177;27:22.06;Eric JENKINS;24/11/1991;USA;1f2;;JSerra Catholic HS, San Juan Capistrano, CA (USA);05/12/2020;1191
77;178;27:22.09;John Kemboi CHERUIYOT;05/07/1990;KEN;13;;Hayward Field, Eugene, OR (USA);03/06/2011;1191
78;179;27:22.20;José RÍOS;15/03/1974;ESP;1;;Gijón (ESP);12/08/2000;1191
79;180;27:22.28;Dieudonné DISI;24/04/1980;RWA;6;;Boudewijnstadion, Bruxelles (BEL);14/09/2007;1191
80;180;27:22.28;Dathan RITZENHEIN;30/12/1982;USA;6;;Olympiastadion, Berlin (GER);17/08/2009;1191
81;182;27:22.33;Moses Martin KURONG;07/07/1994;UGA;6;;Blankers-Koen Stadion, Hengelo (NED);11/06/2017;1191
82;183;27:22.47;Henry RONO;12/02/1952;KEN;1;;Wien (AUT);11/06/1978;1190
83;184;27:22.53;James Gitahi RUNGARU;14/01/1993;KEN;1;;Yokohama (JPN);24/09/2011;1190
84;185;27:22.54;Lewis MOSOTI;01/01/1985;KEN;3;;Porto Novo (BEN);28/06/2012;1190
85;186;27:22.55;Patrick TIERNAN;11/09/1994;AUS;2f2;;JSerra Catholic HS, San Juan Capistrano, CA (USA);05/12/2020;1190
86;187;27:22.67;Mohamed AMYN;25/03/1976;MAR;5;;Hengelo (NED);29/05/2005;1190
87;188;27:22.78;Antonio Bordello MARTINS;23/08/1963;FRA;3;;Oslo (NOR);04/07/1992;1190
88;189;27:22.89;Abdallah Kibet MANDE;10/05/1995;UGA;11;;Hengelo (NED);17/07/2019;1190
89;190;27:22.99;Emmanuel KIPSANG;13/06/1991;KEN;2;;Herzogenaurach (GER);13/05/2016;1190
90;191;27:23.04;James WANGARI;23/03/1994;KEN;1f1;;Kobe (JPN);23/04/2016;1189
91;192;27:23.06;Eamonn MARTIN;09/10/1958;GBR;1;;Oslo (NOR);02/07/1988;1189
92;193;27:23.18;Vincent ROUSSEAU;29/07/1962;BEL;5;;Bruxelles (BEL);03/09/1993;1189
93;194;27:23.49;Mogos TUEMAY;24/05/1997;ETH;12;;Hengelo (NED);17/07/2019;1189
94;195;27:23.58;Edward CHESEREK;02/02/1994;KEN;3f2;;JSerra Catholic HS, San Juan Capistrano, CA (USA);05/12/2020;1189
95;196;27:23.63;Simon BAIRU;08/08/1983;CAN;5f1;;Palo Alto, CA (USA);01/05/2010;1189
96;197;27:23.65;William KALYA;04/08/1974;KEN;4;;Bruxelles (BEL);25/08/2000;1189
97;198;27:23.80;Stewart MCSWEYN;01/06/1995;AUS;1;;Hagenauer Reserve, Box Hill, Melbourne (AUS);14/12/2019;1188
98;199;27:24.09;Ali KAYA;20/04/1994;TUR;1;;Mersin (TUR);02/05/2015;1188
99;199;27:24.09;Vincent Kiprotich KIBET;19/03/1999;KEN;13;;Hengelo (NED);17/07/2019;1188
0;201;27:24.16;Francesco PANETTA;10/01/1963;ITA;3;;Helsinki (FIN);29/06/1989;1188
1;202;27:24.24;Ondoro OSORO;03/12/1967;KEN;6;;Bruxelles (BEL);03/09/1993;1188
2;203;27:24.67;Bobby CURTIS;28/11/1984;USA;2f1;;Palo Alto, CA (USA);01/05/2011;1187
3;204;27:24.78;Sondre Nordstad MOEN;12/01/1991;NOR;1f1;;Kristiansand (NOR);31/08/2019;1187
4;205;27:24.85;Hersuato MAMIYO;13/02/1982;ETH;2;;Kobe (JPN);24/04/2016;1187
5;206;27:24.95;Werner SCHILDHAUER;05/06/1959;GDR;1;;Jena (GDR);28/05/1983;1186
6;206;27:24.95;Ben ST. LAWRENCE;07/11/1981;AUS;3f1;;Palo Alto, CA (USA);01/05/2011;1186
7;208;27:25.02;El Hassan EL ABBASSI;13/04/1984;BRN;7;;Hayward Field, Eugene, OR (USA);29/05/2015;1186
8;209;27:25.16;Kipkemboi KIMELI;30/11/1966;KEN;3;;Olympic Stadium, Jamsil, Seoul (KOR);26/09/1988;1186
9;210;27:25.48;Hammou BOUTAYEB;01/01/1956;MAR;2;;Oslo (NOR);14/07/1990;1186
10;210;27:25.48;Mathias NTAWULIKURA;14/07/1964;RWA;6;;Bruxelles (BEL);23/08/1996;1186
11;212;27:25.55;Robert Kipkorir KIPCHUMBA;24/02/1984;KEN;2;;Bruxelles (BEL);24/08/2001;1186
12;213;27:25.61;Alberto SALAZAR;07/08/1958;USA;2;;Oslo (NOR);26/06/1982;1185
13;214;27:25.63;Peter Cheruiyot KIRUI;02/01/1988;KEN;6;;DS, Daegu (KOR);28/08/2011;1185
14;215;27:25.73;Tatsuhiko ITO;23/03/1998;JPN;2f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1185
15;216;27:25.82;Simon CHEMOIYWO;20/04/1968;KEN;1;;Knoxville, TN (USA);06/04/1995;1185
16;217;27:25.86;Merga TULU;12/09/1999;ETH;1f7;;Machida (JPN);24/11/2018;1185
17;218;27:25.94;Vincent Kipsegechi YATOR;11/07/1989;KEN;9;;Hayward Field, Eugene, OR (USA);27/05/2016;1185
18;219;27:26.00;Hansjörg KUNZE;28/12/1959;GDR;4;;Oslo (NOR);02/07/1988;1185
19;220;27:26.11;Saïd AOUITA;02/11/1959;MAR;1;;Oslo (NOR);05/07/1986;1185
20;221;27:26.24;Khalid EL AMRI;20/03/1977;MAR;7;;Hengelo (NED);29/05/2005;1184
21;222;27:26.27;Benard KIMELI;10/09/1995;KEN;2f7;;Machida (JPN);24/11/2018;1184
22;223;27:26.29;Kamiel MAASE;20/10/1971;NED;10;;Bruxelles (BEL);30/08/2002;1184
23;224;27:26.31;Silas KIPRUTO;26/09/1984;KEN;8;;Blankers-Koen Stadion, Hengelo (NED);24/05/2008;1184
24;225;27:26.56;Mekubo MOGUSU;25/12/1986;KEN;1;;Niigata (JPN);31/05/2009;1184
25;226;27:26.58;Sam ATKIN;14/03/1993;GBR;4f2;;JSerra Catholic HS, San Juan Capistrano, CA (USA);05/12/2020;1184
26;227;27:26.68;Jacob KIPLIMO;14/11/2000;UGA;3;;Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL);19/07/2016;1184
27;228;27:26.92;Johana MAINA;24/12/1990;KEN;2f7;;Hachioji (JPN);28/11/2015;1183
28;229;27:26.95;Alex HAGELSTEENS;15/07/1956;BEL;3;;Oslo (NOR);26/06/1982;1183
29;230;27:27.36;Chris THOMPSON;17/04/1981;GBR;4f1;;Palo Alto, CA (USA);01/05/2011;1183
30;231;27:27.57;Hunegnaw MESFIN;31/01/1989;ETH;5f1;;Neerpelt (BEL);31/05/2008;1182
31;232;27:27.79;Geoffrey MUTAI;07/10/1981;KEN;2;;Nairobi (KEN);26/06/2010;1182
32;233;27:27.80;Juan Carlos DE LA OSSA;25/11/1976;ESP;1;;Barakaldo (ESP);02/04/2005;1182
33;234;27:27.87;Elijah KORIR;15/04/1978;KEN;5;;Bruxelles (BEL);22/08/1997;1182
34;235;27:28.07;Joseph KIMANI;21/09/1972;KEN;2;;Knoxville, TN (USA);06/04/1995;1182
35;236;27:28.10;Nguse AMLOSOM;10/11/1986;ERI;2;;Wageningen (NED);30/05/2012;1181
36;237;27:28.11;Atsedu TSEGAY;17/12/1991;ETH;5;;Sollentuna (SWE);27/06/2013;1181
37;238;27:28.12;Marilson GOMES DOS SANTOS;06/08/1977;BRA;4;;Neerpelt (BEL);02/06/2007;1181
38;239;27:28.19;Tim NELSON;27/02/1984;USA;5f1;;Palo Alto, CA (USA);01/05/2011;1181
39;240;27:28.22;Matt TEGENKAMP;19/01/1982;USA;6f1;;Palo Alto, CA (USA);01/05/2011;1181
40;241;27:28.27;Jeremiah KAREMI;07/07/1994;KEN;2f1;;Abashiri (JPN);06/07/2014;1181
41;242;27:28.35;Peter Nderitu MURIUKI;01/01/1983;KEN;9;;Boudewijnstadion, Bruxelles (BEL);25/08/2006;1181
42;243;27:28.67;Patrick Mutunga MWIKYA;20/11/1994;KEN;1;;Tajimi (JPN);14/10/2013;1181
43;244;27:28.82;Abera ERTIBAN;13/03/1988;ETH;5;;Neerpelt (BEL);02/06/2007;1180
44;244;27:28.82;Juan Luis BARRIOS;24/06/1983;MEX;3;;Wageningen (NED);30/05/2012;1180
45;246;27:28.87;Thomas OSANO;04/06/1970;KEN;3;;Oslo (NOR);06/07/1991;1180
46;247;27:28.92;Kazuki TAMURA;16/07/1995;JPN;3f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1180
47;248;27:29.09;Gordon MUGI;27/11/1981;KEN;5;;Bruxelles (BEL);24/08/2001;1180
48;249;27:29.16;Craig VIRGIN;02/08/1955;USA;1;;Paris (FRA);17/07/1980;1180
49;250;27:29.33;Mert GIRMALEGESSE;30/11/1987;TUR;11;;National Stadium, Beijing (CHN);17/08/2008;1180
50;251;27:29.41;Wodajo BULTI;11/03/1957;ETH;1;;Helsinki (FIN);02/07/1987;1179
51;252;27:29.43;Geoffrey Siele KIPNGENO;10/04/1984;KEN;6;;Neerpelt (BEL);02/06/2007;1179
52;253;27:29.51;Jaouad GHARIB;22/05/1972;MAR;2;;Stadion Rošický, Praha (CZE);18/06/2001;1179
53;254;27:29.69;Kota MURAYAMA;23/02/1993;JPN;3f7;;Hachioji (JPN);28/11/2015;1179
54;255;27:29.73;Collis BIRMINGHAM;27/12/1984;AUS;2;;Berkeley, CA (USA);24/04/2009;1179
55;256;27:29.74;Tetsuya YOROIZAKA;20/03/1990;JPN;4f7;;Hachioji (JPN);28/11/2015;1179
56;257;27:29.94;Hendrick RAMAALA;02/02/1972;RSA;1;;Port Elizabeth (RSA);22/02/1999;1179
57;258;27:30.04;Julius KIPTOO;04/09/1977;KEN;2;;Melbourne (AUS);18/12/1997;1178
58;259;27:30.08;Yacob JARSO;05/02/1988;ETH;3f1;;Okayama (JPN);25/09/2009;1178
59;260;27:30.09;Charles Kamau WANJIKU;16/05/2000;KEN;1f7;;Gion Stadium, Sagamihara (JPN);23/11/2020;1178
60;261;27:30.24;Tesfahun AKLNEW;01/01/1999;ETH;1;;Nijmegen (NED);15/06/2019;1178
61;262;27:30.3;Brendan FOSTER;12/01/1948;GBR;1;;London (GBR);23/06/1978;1178
62;263;27:30.32;Patrick MWAKA;02/11/1992;KEN;2f1;;Fukagawa (JPN);27/06/2012;1178
63;264;27:30.47;Samson KIMOBWA;15/09/1955;KEN;1;;Helsinki (FIN);30/06/1977;1178
64;264;27:30.47;Daniel KIPKEMBOI;05/07/1996;KEN;3f7;;Machida (JPN);24/11/2018;1178
65;266;27:30.50;Kevin CHELIMO;14/02/1983;KEN;9f1;;Palo Alto, CA (USA);01/05/2011;1178
66;266;27:30.50;Hiskel TEWELDE;15/09/1986;ERI;3;;Leiden (NED);11/06/2016;1178
67;268;27:30.53;Diego ESTRADA;19/12/1989;USA;9;;Hayward Field, Eugene, OR (USA);29/05/2015;1178
68;269;27:30.56;José Manuel MARTÍNEZ;22/10/1971;ESP;3;;Pontevedra (ESP);20/07/2003;1178
69;270;27:30.67;Guta ABIYOTE;10/10/1985;ETH;7;;Neerpelt (BEL);02/06/2007;1177
70;271;27:30.75;Hiran NGATIA;01/01/1992;KEN;2f13;;Tajimi (JPN);15/10/2016;1177
71;272;27:30.80;David BEDFORD;30/12/1949;GBR;1;;London (GBR);13/07/1973;1177
72;273;27:30.81;Alexander MUTISO;10/09/1996;KEN;5f3;;Prefectural Stadium, Kumagaya (JPN);19/09/2020;1177
73;274;27:30.88;Haftu TEKLU;01/01/2000;ETH;2;;Nijmegen (NED);15/06/2019;1177
74;275;27:30.90;Jake ROBERTSON;14/11/1989;NZL;5;;Gold Coast (AUS);13/04/2018;1177
75;276;27:30.99;Martti VAINIO;30/12/1950;FIN;1;;Praha (TCH);29/08/1978;1177
76;277;27:31.00;Saïd BÉRIOUI;03/01/1975;MAR;3;;Lille (FRA);11/07/1998;1177
77;278;27:31.10;Dominic KIRUI;12/04/1967;KEN;3;;Oslo (NOR);04/07/1997;1177
78;278;27:31.10;James Kamau KARIUKI;18/01/1972;KEN;1;;Fukuroi (JPN);22/10/2005;1177
79;280;27:31.15;Aron RONO;01/11/1982;KEN;11f1;;Palo Alto, CA (USA);01/05/2011;1177
80;281;27:31.16;Thierry PANTEL;06/07/1964;FRA;3;;Oslo (NOR);14/07/1990;1177
81;282;27:31.19;Nick ROSE;30/12/1951;GBR;3;;Oslo (NOR);09/07/1983;1177
82;283;27:31.29;Simon NDIRANGU;01/11/1985;KEN;1;;Tokyo (JPN);13/05/2005;1176
83;284;27:31.34;Todd WILLIAMS;07/03/1969;USA;3;;Knoxville, TN (USA);06/04/1995;1176
84;285;27:31.38;Chris DERRICK;17/10/1990;USA;3f1;;Palo Alto, CA (USA);29/04/2012;1176
85;286;27:31.46;Bouabdellah TAHRI;20/12/1978;FRA;12f1;;Palo Alto, CA (USA);01/05/2011;1176
86;287;27:31.48;Venanzio ORTIS;29/01/1955;ITA;2;;Praha (TCH);29/08/1978;1176
87;288;27:31.50;Aleksandras ANTIPOVAS;09/03/1955;URS;3;;Praha (TCH);29/08/1978;1176
88;289;27:31.57;Philip KEMEI KIPKEMBOI;06/06/1977;KEN;4;;Lille (FRA);11/07/1998;1176
89;290;27:31.61;Moukhled AL OUTAIBI;20/06/1976;KSA;1;;Radés (TUN);09/06/2012;1176
90;291;27:31.89;Tesfaye GIRMA;25/09/1982;ETH;2;;Fukuroi (JPN);22/10/2005;1176
91;292;27:31.92;Shaun CREIGHTON;14/05/1967;AUS;2;;Melbourne (AUS);25/11/1996;1175
92;293;27:32.00;Goitom KIFLE;03/12/1993;ERI;11;;Hayward Field, Eugene, OR (USA);31/05/2013;1175
93;294;27:32.04;Amos KURGAT;07/03/1992;KEN;5f7;;Machida (JPN);24/11/2018;1175
94;295;27:32.18;David CHELULE;07/07/1977;KEN;2;;Bratislava (SVK);29/05/1996;1175
95;296;27:32.30;Thomas KIPLITAN;15/06/1983;KEN;2;;Palo Alto, CA (USA);30/04/2004;1175
96;297;27:32.49;Hassan MEAD;28/08/1989;USA;15;;Olympic Stadium, London (GBR);04/08/2017;1175
97;298;27:32.51;Yeneblo BIYAZEN;29/01/2000;ETH;1f6;;Hosei University Stadium, Machida (JPN);25/11/2017;1175
98;299;27:32.52;Are NAKKIM;13/02/1964;NOR;4;;Oslo (NOR);14/07/1990;1175
99;300;27:32.58;Dejene ASFAW;23/01/1979;ETH;2f9;;Yokohama (JPN);25/09/2010;1174
0;301;27:32.59;Byron PIEDRA;19/08/1982;ECU;13f1;;Palo Alto, CA (USA);01/05/2011;1174
1;302;27:32.72;Bilisuma Shugi GELASSA;19/07/1989;BRN;1;;Guangzhou (CHN);26/11/2010;1174
2;303;27:32.79;Dennis MASAI;01/12/1991;KEN;12;;Hayward Field, Eugene, OR (USA);01/06/2012;1174
3;304;27:32.86;Daniele MEUCCI;07/10/1985;ITA;4f1;;Palo Alto, CA (USA);29/04/2012;1174
4;305;27:32.89;Kirubel ERASSA;17/06/1993;USA;3;;Nijmegen (NED);15/06/2019;1174
5;306;27:32.97;Salim KIPSANG;22/12/1979;KEN;6;;Bruxelles (BEL);25/08/2000;1174
6;307;27:33.02;Wifred Kipkoech TARAGON;09/06/1985;KEN;14;;Blankers-Koen Stadion, Hengelo (NED);26/05/2007;1174
7;308;27:33.21;Andrew LOROT;02/12/1997;KEN;2f2;;Kumagaya (JPN);18/05/2019;1173
8;309;27:33.28;Laban CHEGE KIPKEMBOI;10/09/1969;KEN;4;;Oslo (NOR);04/07/1997;1173
9;310;27:33.42;Eric KIPTANUI;19/04/1990;KEN;4;;Nijmegen (NED);15/06/2019;1173
10;311;27:33.53;Cathal LOMBARD;12/02/1976;IRL;3;;Palo Alto, CA (USA);30/04/2004;1173
11;312;27:33.60;Wilbeforce TALEL KAPKENY;10/01/1980;KEN;6;;Stade de France, Paris-St-Denis (FRA);24/08/2003;1173
12;313;27:33.67;Zane ROBERTSON;14/11/1989;NZL;12;;Estádio Olímpico, Rio de Janeiro (BRA);13/08/2016;1173
13;314;27:33.82;Azmeraw MENGISTU;15/09/1992;ETH;8;;Hengelo (NED);17/06/2015;1173
14;315;27:33.93;Alan CULPEPPER;15/09/1972;USA;5;;Palo Alto, CA (USA);04/05/2001;1172
15;316;27:33.94;Ronald KWEMOI;19/09/1995;KEN;1f7;;Hachioji (JPN);26/11/2016;1172
16;317;27:33.96;David José GALVÁN MARTÍNEZ;06/04/1976;MEX;2;;Palo Alto, CA (USA);29/04/2007;1172
17;318;27:34.05;Larbi ZEROUAL;10/01/1971;FRA;5;;Lille (FRA);11/07/1998;1172
18;319;27:34.29;Mohamed EL HACHIMI;05/09/1980;MAR;8f1;;Neerpelt (BEL);31/05/2008;1172
19;320;27:34.38;Jean Louis PRIANON;22/02/1960;FRA;2;;Helsinki (FIN);02/07/1987;1172
20;321;27:34.48;Craig MOTTRAM;18/06/1980;AUS;1f1;;Palo Alto, CA (USA);04/05/2008;1171
21;321;27:34.48;Stephen KISSA;01/12/1995;UGA;4;;Estadio de Atletismo del Turia, Valencia (ESP);07/10/2020;1171
22;323;27:34.53;Domingos CASTRO;22/11/1963;POR;3;;Stockholm (SWE);05/07/1993;1171
23;324;27:34.58;Julian GOATER;12/01/1953;GBR;5;;Oslo (NOR);26/06/1982;1171
24;325;27:34.72;Alan WEBB;13/01/1983;USA;1;;Palo Alto, CA (USA);30/04/2006;1171
25;326;27:34.81;Marda MUSASABEKER;04/02/1982;MAR;2f1;;St-Maur (FRA);06/06/2008;1171
26;327;27:34.86;Daiji KAWAI;22/09/1991;JPN;4f2;;Nagai Stadium, Osaka (JPN);04/12/2020;1171
27;328;27:34.88;Alfred BARKACH;02/03/1997;KEN;6;;Nijmegen (NED);15/06/2019;1171
28;329;27:34.96;Julius KORIR;05/12/1963;KEN;1;;Berlin (GER);10/09/1991;1171
29;330;27:35.01;Paul Kipkemboi BIWOTT;18/04/1978;KEN;1;;Heusden-Zolder (BEL);20/07/2002;1171
30;331;27:35.09;Toshinari TAKAOKA;24/09/1970;JPN;6;;Palo Alto, CA (USA);04/05/2001;1171
31;332;27:35.12;Felix KIBORE;18/02/1988;QAT;2;;Pergine Valsugana (ITA);12/07/2008;1170
32;333;27:35.33;Takeyuki NAKAYAMA;20/12/1959;JPN;3;;Helsinki (FIN);02/07/1987;1170
33;334;27:35.50;Polat Kemboi ARIKAN;12/12/1990;TUR;13;;Estádio Olímpico, Rio de Janeiro (BRA);13/08/2016;1170
34;335;27:35.55;Samuel Muturi MUGO;02/05/1986;KEN;6;;Kobe (JPN);24/04/2005;1170
35;336;27:35.57;Justus SOGET;22/10/1999;KEN;1f8;;Kamiyugi Park Athletic Stadium, Hachioji (JPN);21/11/2020;1170
36;337;27:35.64;Amine CHENTOUF;;MAR;10f1;;Neerpelt (BEL);31/05/2008;1170
37;338;27:35.72;Yonas KIFLE;05/11/1977;ERI;11;;Olympic Stadium, Helsinki (FIN);08/08/2005;1170
38;339;27:35.77;Joseph KEINO;01/01/1963;KEN;2;;Olympiastadion, Berlin (GER);21/08/1992;1169
39;340;27:35.83;Abayneh AYELE;04/11/1987;ETH;7;;Hengelo (NED);29/06/2016;1169
40;341;27:35.85;Patrick KIMELI;22/04/1989;KEN;8;;Neerpelt (BEL);02/06/2007;1169
41;342;27:35.86;James Kimutai KOSKEI;23/11/1968;KEN;6;;Lille (FRA);11/07/1998;1169
42;343;27:36.01;Jeff SCHIEBLER;01/06/1973;CAN;7;;Palo Alto, CA (USA);04/05/2001;1169
43;344;27:36.08;Evans Keitany KIPTUM;27/11/1999;KEN;2f8;;Kamiyugi Park Athletic Stadium, Hachioji (JPN);21/11/2020;1169
44;345;27:36.2;Gabriel KAMAU;20/03/1957;KEN;1;;Walnut, CA (USA);24/04/1982;1169
45;346;27:36.27;David BLACK;02/10/1952;GBR;5;;Praha (TCH);29/08/1978;1169
46;347;27:36.35;Milion YEHWALAESHET;24/01/1989;ETH;1f1;;Tokyo (JPN);29/11/2014;1169
47;348;27:36.36;Zembaba YIGEZE;26/09/1983;ETH;11f1;;Neerpelt (BEL);31/05/2008;1169
48;349;27:36.37;Samwel Chebolei MASAI;20/03/2001;KEN;3f8;;Kamiyugi Park Athletic Stadium, Hachioji (JPN);21/11/2020;1169
49;350;27:36.40;Bashir ABDI;10/02/1989;BEL;3f1;;Palo Alto, CA (USA);04/05/2014;1168
50;351;27:36.46;Günther WEIDLINGER;05/04/1978;AUT;2f1;;Palo Alto, CA (USA);04/05/2008;1168
51;352;27:36.52;Richard RINGER;27/02/1989;GER;1f1;;London (GBR);19/05/2018;1168
52;353;27:36.60;Bernard KIMANI;30/09/1993;KEN;2f1;;Tokyo (JPN);29/11/2014;1168
53;354;27:36.62;Joshua CHELANGA;07/04/1973;KEN;6;;Bruxelles (BEL);22/08/1997;1168
54;355;27:36.64;Gerard TEBROKE;09/11/1949;NED;6;;Praha (TCH);29/08/1978;1168
55;356;27:36.68;Zackayo NGATHO;18/03/1978;KEN;1;;Kobe (JPN);28/04/2002;1168
56;357;27:36.73;Abderrahim ZITOUNA;20/12/1970;MAR;6;;Blankers-Koen Stadion, Hengelo (NED);31/05/1997;1168
57;358;27:36.78;Francis KIPROP;25/12/1984;KEN;11;;Bruxelles (BEL);30/08/2002;1168
58;359;27:36.8;Karl FLESCHEN;28/05/1955;FRG;1;;Troisdorf (GER);28/04/1979;1168
59;360;27:36.80;Morhad AMDOUNI;21/06/1988;FRA;2f1;;London (GBR);19/05/2018;1168
