Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
68,Gideon NGATUNYI,10/10/1986,KEN,2f1,Tendo (JPN),16/05/2009,1223,23.0,2009,2000-2009,20-25,27:01:83,1621.83
69,Jonathan Muia NDIKU,18/09/1991,KEN,2f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14/11/2020,1223,29.0,2020,2020+,26-30,27:01:95,1621.95
70,Wilson KIPROP,14/04/1987,KEN,1,"Hayward Field, Eugene, OR (USA)",01/06/2012,1223,25.0,2012,2010-2019,20-25,27:01:98,1621.98
71,Solomon BERIHU,02/10/1999,ETH,8,Hengelo (NED),17/07/2019,1223,20.0,2019,2010-2019,20-25,27:02:26,1622.26
72,Benard KIBET,25/11/1999,KEN,2f3,"Prefectural Stadium, Kumagaya (JPN)",19/09/2020,1222,21.0,2020,2020+,20-25,27:02:39,1622.39
73,Nicholas Mboroto KOSIMBEI,01/10/1996,KEN,7,"Hayward Field, Eugene, OR (USA)",27/05/2016,1222,20.0,2016,2010-2019,20-25,27:02:59,1622.59
74,Abderrahim GOUMRI,21/05/1976,MAR,3,Hengelo (NED),29/05/2005,1222,29.0,2005,2000-2009,26-30,27:02:62,1622.62
74,Deriba Merga EJIGU,26/10/1980,ETH,6,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1222,27.0,2007,2000-2009,26-30,27:02:62,1622.62
76,Tariku BEKELE,28/02/1987,ETH,2,Birmingham (GBR),22/06/2012,1221,25.0,2012,2010-2019,20-25,27:03:24,1623.24
77,Kaan Kigen ÖZBILEN,15/01/1986,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1221,26.0,2012,2010-2019,26-30,27:03:49,1623.49
78,Robert Sigei KIPNGETICH,03/01/1982,KEN,1,Neerpelt (BEL),02/06/2007,1219,25.0,2007,2000-2009,20-25,27:04:18,1624.18
79,Abraham CHEBII,23/12/1979,KEN,1,"Palo Alto, CA (USA)",04/05/2001,1219,21.0,2001,2000-2009,20-25,27:04:20,1624.2
80,Moses Ndiema KIPSIRO,02/09/1986,UGA,5,Birmingham (GBR),22/06/2012,1219,26.0,2012,2010-2019,26-30,27:04:48,1624.48
81,Felix LIMO,22/08/1980,KEN,2,Bruxelles (BEL),25/08/2000,1219,20.0,2000,2000-2009,20-25,27:04:54,1624.54
82,Lopez LOMONG,01/01/1985,USA,7f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1219,34.0,2019,2010-2019,31-35,27:04:72,1624.72
83,Tadesse TOLA,31/10/1987,ETH,3,Neerpelt (BEL),02/06/2007,1218,19.0,2007,2000-2009,0-19,27:04:89,1624.89
84,Ali ABDOSH,25/08/1987,ETH,7,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1218,20.0,2007,2000-2009,20-25,27:04:92,1624.92
85,Patrick Mutuku IVUTI,30/07/1978,KEN,6,Bruxelles (BEL),30/08/2002,1217,24.0,2002,2000-2009,20-25,27:05:88,1625.88
86,Kidane TADESSE,31/08/1987,ERI,1f1,Neerpelt (BEL),31/05/2008,1216,21.0,2008,2000-2009,20-25,27:06:16,1626.16
87,John Yuda MSURI,09/06/1979,TAN,7,Bruxelles (BEL),30/08/2002,1216,23.0,2002,2000-2009,20-25,27:06:17,1626.17
88,Worku BIKILA,06/05/1968,ETH,1,Bruxelles (BEL),25/08/1995,1216,27.0,1995,1990-1999,26-30,27:06:44,1626.44
89,Habte JIFAR,29/01/1976,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1216,23.0,1999,1990-1999,20-25,27:06:45,1626.45
90,Awash Habtamu FIKADU,13/03/1988,ETH,8,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1216,19.0,2007,2000-2009,0-19,27:06:47,1626.47
91,Ismael KIRUI,20/02/1975,KEN,2,Bruxelles (BEL),25/08/1995,1216,21.0,1995,1990-1999,20-25,27:06:59,1626.59
92,Cameron LEVINS,28/03/1989,CAN,4,"Hayward Field, Eugene, OR (USA)",29/05/2015,1214,26.0,2015,2010-2019,26-30,27:07:51,1627.51
93,Benjamin MAIYO,06/10/1978,KEN,2,"Palo Alto, CA (USA)",04/05/2001,1214,23.0,2001,2000-2009,20-25,27:07:55,1627.55
93,Shadrack KIPCHIRCHIR,22/02/1989,USA,9,"Olympic Stadium, London (GBR)",04/08/2017,1214,28.0,2017,2010-2019,26-30,27:07:55,1627.55
95,Daniel Lemashon SALEL,11/12/1990,KEN,2f1,"Palo Alto, CA (USA)",01/05/2010,1214,19.0,2010,2010-2019,0-19,27:07:85,1627.85
96,Richard CHELIMO,21/04/1972,KEN,1,Stockholm (SWE),05/07/1993,1213,21.0,1993,1990-1999,20-25,27:07:91,1627.91
97,Arturo BARRIOS,12/12/1963,MEX,1,"Olympiastadion, Berlin (GER)",18/08/1989,1213,26.0,1989,1980-1989,26-30,27:08:23,1628.23
98,Samuel CHELANGA,23/02/1985,KEN,3f1,"Palo Alto, CA (USA)",01/05/2010,1213,25.0,2010,2010-2019,20-25,27:08:39,1628.39
99,Guye Idemo ADOLA,20/10/1990,ETH,8,"Hayward Field, Eugene, OR (USA)",27/05/2016,1211,26.0,2016,2010-2019,26-30,27:09:78,1629.78
100,Bernard ROTICH,11/08/1986,KEN,1,Nairobi (KEN),30/05/2008,1210,22.0,2008,2000-2009,20-25,27:09:8,1629.8
101,Aron KIFLE,20/02/1998,ERI,11,"Olympic Stadium, London (GBR)",04/08/2017,1210,19.0,2017,2010-2019,0-19,27:09:92,1629.92
102,Josphat Machuka KIPRONO,12/12/1973,KEN,4,Bruxelles (BEL),25/08/1995,1210,22.0,1995,1990-1999,20-25,27:10:34,1630.34
103,Marc SCOTT,21/12/1993,GBR,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",20/02/2021,1209,27.0,2021,2020+,26-30,27:10:41,1630.41
104,Yemaneberhan CRIPPA,15/10/1996,ITA,8f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1209,23.0,2019,2010-2019,20-25,27:10:76,1630.76
105,Abraham CHEROBEN,11/10/1992,BRN,12,"Olympic Stadium, London (GBR)",04/08/2017,1208,24.0,2017,2010-2019,20-25,27:11:08,1631.08
106,Peter KAMAIS,07/11/1976,KEN,3f1,Neerpelt (BEL),31/05/2008,1208,32.0,2008,2000-2009,31-35,27:11:09,1631.09
107,Julius GITAHI,29/04/1978,KEN,1,Kobe (JPN),26/04/1998,1208,20.0,1998,1990-1999,20-25,27:11:17,1631.17
108,Grant FISHER,22/04/1997,USA,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",20/02/2021,1208,24.0,2021,2020+,20-25,27:11:29,1631.29
109,John NGUGI,10/05/1962,KEN,1,Bruxelles (BEL),13/09/1991,1208,29.0,1991,1990-1999,26-30,27:11:62,1631.62
110,Belay Tilahun BEZABEH,07/01/1995,ETH,4,Hengelo (NED),29/06/2016,1207,21.0,2016,2010-2019,20-25,27:11:83,1631.83
111,John Kimondo THUO,27/11/1985,KEN,1f2,Fukuroi (JPN),17/10/2009,1207,24.0,2009,2000-2009,20-25,27:11:88,1631.88
112,Eshetu WENDIMU,03/10/1986,ETH,9,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1207,21.0,2007,2000-2009,20-25,27:11:93,1631.93
113,Lelisa DESISA,14/01/1990,ETH,2,"Blankers-Koen Stadion, Hengelo (NED)",27/05/2012,1207,22.0,2012,2010-2019,20-25,27:11:98,1631.98
114,Dejene BIRHANU,12/12/1980,ETH,2,"Palo Alto, CA (USA)",29/05/2005,1207,24.0,2005,2000-2009,20-25,27:12:22,1632.22
115,Luke KIPKOSGEI,27/11/1975,KEN,3,"Palo Alto, CA (USA)",04/05/2001,1206,25.0,2001,2000-2009,20-25,27:12:37,1632.37
116,Ismail SGHYR,16/03/1972,MAR,2,Stockholm (SWE),30/07/1999,1206,27.0,1999,1990-1999,26-30,27:12:39,1632.39
117,Sammy Alex MUTAHI,01/06/1989,KEN,1,Tokamachi (JPN),29/09/2007,1206,19.0,2007,2000-2009,0-19,27:12:42,1632.42
118,António PINTO,22/03/1966,POR,3,Stockholm (SWE),30/07/1999,1206,33.0,1999,1990-1999,31-35,27:12:47,1632.47
119,William KINCAID,21/09/1992,USA,3,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",20/02/2021,1206,28.0,2021,2020+,26-30,27:12:78,1632.78
120,Stanley Waithaka MBURU,09/04/2000,KEN,1f8,Yokohama (JPN),10/11/2018,1205,18.0,2018,2010-2019,0-19,27:13:01,1633.01
121,Girma TOLA,19/10/1974,ETH,2,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1205,25.0,1999,1990-1999,20-25,27:13:48,1633.48
122,Fernando MAMEDE,01/11/1951,POR,1,Stockholm (SWE),02/07/1984,1204,33.0,1984,1980-1989,31-35,27:13:81,1633.81
123,Edward WAWERU,03/10/1990,KEN,1f2,Fukuroi (JPN),16/10/2010,1204,21.0,2010,2010-2019,20-25,27:13:94,1633.94
124,Mebrahtom KEFLEZIGHI,05/05/1975,USA,4,"Palo Alto, CA (USA)",04/05/2001,1204,26.0,2001,2000-2009,26-30,27:13:98,1633.98
125,Terefe Zewdie MEREGA,23/10/1982,ETH,3,"Eugene, OR (USA)",08/06/2008,1204,26.0,2008,2000-2009,26-30,27:14:13,1634.13
126,Fita BAYISSA,15/12/1972,ETH,1,Oslo (NOR),04/07/1992,1203,19.0,1992,1990-1999,0-19,27:14:26,1634.26
127,Birhan NEBEBEW,14/08/1994,ETH,5,"Hayward Field, Eugene, OR (USA)",31/05/2013,1203,19.0,2013,2010-2019,0-19,27:14:34,1634.34
128,Mathew KIMELI,01/04/1998,KEN,2,"Mestský Stadion, Ostrava (CZE)",28/06/2017,1203,19.0,2017,2010-2019,0-19,27:14:43,1634.43
129,Fabián RONCERO,19/10/1970,ESP,1,Lisboa (POR),04/04/1998,1203,27.0,1998,1990-1999,26-30,27:14:44,1634.44
130,Khalid SKAH,29/01/1967,MAR,2,"Ullevi Stadium, Göteborg (SWE)",08/08/1995,1203,29.0,1995,1990-1999,26-30,27:14:53,1634.53
131,Edwin Cheruiyot SOI,03/03/1986,KEN,7,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1202,20.0,2006,2000-2009,20-25,27:14:83,1634.83
132,John KARIUKI,10/11/1986,KEN,2,Oita (JPN),01/10/2006,1202,19.0,2006,2000-2009,0-19,27:14:84,1634.84
133,Ben TRUE,29/12/1985,USA,4,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",20/02/2021,1202,35.0,2021,2020+,31-35,27:14:95,1634.95
134,Raji ASSEFA,18/02/1986,ETH,11,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1201,21.0,2007,2000-2009,20-25,27:15:68,1635.68
135,Kimutai KIPLIMO,10/12/1981,KEN,6,"Eugene, OR (USA)",08/06/2008,1200,27.0,2008,2000-2009,26-30,27:16:49,1636.49
136,Salvatore ANTIBO,07/02/1962,ITA,1,Helsinki (FIN),29/06/1989,1200,27.0,1989,1980-1989,26-30,27:16:50,1636.5
137,Teklemariam MEDHIN,24/06/1989,ERI,5,"Blankers-Koen Stadion, Hengelo (NED)",27/05/2012,1200,23.0,2012,2010-2019,20-25,27:16:69,1636.69
138,Abdi ABDIRAHMAN,02/12/1978,USA,7,"Eugene, OR (USA)",08/06/2008,1199,30.0,2008,2000-2009,26-30,27:16:99,1636.99
139,Isiah Kiplangat KOECH,19/12/1993,KEN,8,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1199,19.0,2012,2010-2019,0-19,27:17:03,1637.03
140,Kieran TUNTIVATE,16/02/1997,THA,5,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",20/02/2021,1199,24.0,2021,2020+,20-25,27:17:14,1637.14
141,Muktar EDRIS,14/01/1994,ETH,1,Hengelo (NED),17/06/2015,1199,21.0,2015,2010-2019,20-25,27:17:18,1637.18
142,William Kiptum MUIGEI,30/03/1971,KEN,2,"Bislett Stadion, Oslo (NOR)",22/07/1994,1199,23.0,1994,1990-1999,20-25,27:17:20,1637.2
143,Julien WANDERS,18/03/1996,SUI,9,Hengelo (NED),17/07/2019,1199,23.0,2019,2010-2019,20-25,27:17:29,1637.29
144,Carlos LOPES,18/02/1947,POR,2,Stockholm (SWE),02/07/1984,1198,37.0,1984,1980-1989,36-41,27:17:48,1637.48
145,Addis ABEBE,05/09/1970,ETH,2,Helsinki (FIN),29/06/1989,1198,19.0,1989,1980-1989,0-19,27:17:82,1637.82
146,Shem KORORIA,25/09/1972,KEN,6,Bruxelles (BEL),25/08/1995,1197,23.0,1995,1990-1999,20-25,27:18:02,1638.02
147,Jon BROWN,27/02/1971,GBR,4,Bruxelles (BEL),28/08/1998,1197,27.0,1998,1990-1999,26-30,27:18:14,1638.14
148,Moses TANUI,20/08/1965,KEN,2,Bruxelles (BEL),03/09/1993,1197,28.0,1993,1990-1999,26-30,27:18:32,1638.32
149,Juan Armando QUINTANILLA,19/04/1968,MEX,3,"Bislett Stadion, Oslo (NOR)",22/07/1994,1197,26.0,1994,1990-1999,26-30,27:18:59,1638.59
150,Simon MAINA MUNYI,18/03/1978,KEN,5,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1196,21.0,1999,1990-1999,20-25,27:18:74,1638.74
151,Akira AIZAWA,18/07/1997,JPN,1f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1196,23.0,2020,2020+,20-25,27:18:75,1638.75
152,Mosinet GEREMEW,12/02/1992,ETH,3,Hengelo (NED),17/06/2015,1196,23.0,2015,2010-2019,20-25,27:18:86,1638.86
153,Tilahun REGASSA,18/01/1990,ETH,6,"Blankers-Koen Stadion, Hengelo (NED)",27/05/2012,1196,22.0,2012,2010-2019,20-25,27:18:90,1638.9
154,Adugna TAKELE,26/02/1989,ETH,4,Hengelo (NED),17/06/2015,1195,26.0,2015,2010-2019,26-30,27:19:34,1639.34
155,Chesari Kirui JACOB,06/04/1984,KEN,9,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1195,28.0,2012,2010-2019,26-30,27:19:70,1639.7
156,Leul GEBRESILASE,20/09/1992,ETH,1,Herzogenaurach (GER),13/05/2016,1195,24.0,2016,2010-2019,20-25,27:19:71,1639.71
157,Fabiano Joseph NAASI,24/12/1985,TAN,6,"Blankers-Koen Stadion, Hengelo (NED)",24/05/2008,1195,22.0,2008,2000-2009,20-25,27:19:72,1639.72
158,Yenew ALAMIREW,27/05/1990,ETH,3,"Blankers-Koen Stadion, Hengelo (NED)",11/06/2017,1194,27.0,2017,2010-2019,26-30,27:19:86,1639.86
159,Leonard KORIR,10/12/1986,USA,13,"Olympic Stadium, London (GBR)",04/08/2017,1194,30.0,2017,2010-2019,26-30,27:20:18,1640.18
160,Cleophas Kandie MEYAN,14/08/2000,KEN,4f3,"Prefectural Stadium, Kumagaya (JPN)",19/09/2020,1194,20.0,2020,2020+,20-25,27:20:34,1640.34
161,Aloys NIZIGAMA,18/06/1966,BDI,1,"Crystal Palace, London (GBR)",07/07/1995,1194,29.0,1995,1990-1999,26-30,27:20:38,1640.38
162,Tebalu ZAWUDE HEYI,02/11/1987,ETH,5,Hengelo (NED),17/06/2015,1193,28.0,2015,2010-2019,26-30,27:20:54,1640.54
163,Mark NENOW,16/11/1957,USA,1,Bruxelles (BEL),05/09/1986,1193,28.0,1986,1980-1989,26-30,27:20:56,1640.56
164,Leonard BARSOTON,21/10/1994,KEN,2f3,Yamaguchi (JPN),10/10/2014,1193,20.0,2014,2010-2019,20-25,27:20:74,1640.74
165,Essa Ismail RASHED,14/12/1986,QAT,5,Hengelo (NED),28/05/2006,1193,19.0,2006,2000-2009,0-19,27:20:97,1640.97
166,Timothy TOROITICH,10/10/1991,UGA,14,"Olympic Stadium, London (GBR)",04/08/2017,1193,25.0,2017,2010-2019,20-25,27:21:09,1641.09
167,Luka KEITANY,22/07/1977,KEN,7,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1192,22.0,1999,1990-1999,20-25,27:21:29,1641.29
168,Evans RUTTO,08/04/1978,KEN,3,Villeneuve d'Ascq (FRA),17/06/2000,1192,22.0,2000,2000-2009,20-25,27:21:32,1641.32
169,Ali Hassan MAHBOOB,31/12/1981,BRN,1,Wageningen (NED),30/05/2012,1192,30.0,2012,2010-2019,26-30,27:21:40,1641.4
170,Brahim BOUTAYEB,15/08/1967,MAR,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26/09/1988,1192,21.0,1988,1980-1989,20-25,27:21:46,1641.46
171,Dieter BAUMANN,09/02/1965,GER,1,Braga (POR),05/04/1997,1192,32.0,1997,1990-1999,31-35,27:21:53,1641.53
172,Wilson Kipkemei BUSIENEI,18/08/1981,UGA,8,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1192,25.0,2006,2000-2009,20-25,27:21:55,1641.55
173,Paul Malakwen KOSGEI,22/04/1978,KEN,11,"Boudewijnstadion, Bruxelles (BEL)",05/09/2003,1192,25.0,2003,2000-2009,20-25,27:21:56,1641.56
174,Paul LONYANGATA,12/12/1992,KEN,8,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1192,19.0,2011,2010-2019,0-19,27:21:62,1641.62
175,John MAINA,14/07/1993,KEN,3,Yokohama (JPN),12/11/2016,1191,23.0,2016,2010-2019,20-25,27:21:97,1641.97
176,Simon ARUSEI,04/11/1977,KEN,6,Hengelo (NED),28/05/2006,1191,29.0,2006,2000-2009,26-30,27:22:01,1642.01
177,Eric JENKINS,24/11/1991,USA,1f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1191,28.0,2020,2020+,26-30,27:22:06,1642.06
178,John Kemboi CHERUIYOT,05/07/1990,KEN,13,"Hayward Field, Eugene, OR (USA)",03/06/2011,1191,21.0,2011,2010-2019,20-25,27:22:09,1642.09
179,José RÍOS,15/03/1974,ESP,1,Gijón (ESP),12/08/2000,1191,27.0,2000,2000-2009,26-30,27:22:20,1642.2
180,Dieudonné DISI,24/04/1980,RWA,6,"Boudewijnstadion, Bruxelles (BEL)",14/09/2007,1191,27.0,2007,2000-2009,26-30,27:22:28,1642.28
180,Dathan RITZENHEIN,30/12/1982,USA,6,"Olympiastadion, Berlin (GER)",17/08/2009,1191,27.0,2009,2000-2009,26-30,27:22:28,1642.28
182,Moses Martin KURONG,07/07/1994,UGA,6,"Blankers-Koen Stadion, Hengelo (NED)",11/06/2017,1191,23.0,2017,2010-2019,20-25,27:22:33,1642.33
183,Henry RONO,12/02/1952,KEN,1,Wien (AUT),11/06/1978,1190,26.0,1978,1970-1979,26-30,27:22:47,1642.47
184,James Gitahi RUNGARU,14/01/1993,KEN,1,Yokohama (JPN),24/09/2011,1190,19.0,2011,2010-2019,0-19,27:22:53,1642.53
185,Lewis MOSOTI,01/01/1985,KEN,3,Porto Novo (BEN),28/06/2012,1190,27.0,2012,2010-2019,26-30,27:22:54,1642.54
186,Patrick TIERNAN,11/09/1994,AUS,2f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1190,26.0,2020,2020+,26-30,27:22:55,1642.55
187,Mohamed AMYN,25/03/1976,MAR,5,Hengelo (NED),29/05/2005,1190,29.0,2005,2000-2009,26-30,27:22:67,1642.67
188,Antonio Bordello MARTINS,23/08/1963,FRA,3,Oslo (NOR),04/07/1992,1190,29.0,1992,1990-1999,26-30,27:22:78,1642.78
189,Abdallah Kibet MANDE,10/05/1995,UGA,11,Hengelo (NED),17/07/2019,1190,24.0,2019,2010-2019,20-25,27:22:89,1642.89
190,Emmanuel KIPSANG,13/06/1991,KEN,2,Herzogenaurach (GER),13/05/2016,1190,25.0,2016,2010-2019,20-25,27:22:99,1642.99
191,James WANGARI,23/03/1994,KEN,1f1,Kobe (JPN),23/04/2016,1189,22.0,2016,2010-2019,20-25,27:23:04,1643.04
192,Eamonn MARTIN,09/10/1958,GBR,1,Oslo (NOR),02/07/1988,1189,29.0,1988,1980-1989,26-30,27:23:06,1643.06
193,Vincent ROUSSEAU,29/07/1962,BEL,5,Bruxelles (BEL),03/09/1993,1189,31.0,1993,1990-1999,31-35,27:23:18,1643.18
194,Mogos TUEMAY,24/05/1997,ETH,12,Hengelo (NED),17/07/2019,1189,22.0,2019,2010-2019,20-25,27:23:49,1643.49
195,Edward CHESEREK,02/02/1994,KEN,3f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1189,26.0,2020,2020+,26-30,27:23:58,1643.58
196,Simon BAIRU,08/08/1983,CAN,5f1,"Palo Alto, CA (USA)",01/05/2010,1189,26.0,2010,2010-2019,26-30,27:23:63,1643.63
197,William KALYA,04/08/1974,KEN,4,Bruxelles (BEL),25/08/2000,1189,26.0,2000,2000-2009,26-30,27:23:65,1643.65
198,Stewart MCSWEYN,01/06/1995,AUS,1,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",14/12/2019,1188,25.0,2019,2010-2019,20-25,27:23:80,1643.8
199,Ali KAYA,20/04/1994,TUR,1,Mersin (TUR),02/05/2015,1188,21.0,2015,2010-2019,20-25,27:24:09,1644.09
199,Vincent Kiprotich KIBET,19/03/1999,KEN,13,Hengelo (NED),17/07/2019,1188,20.0,2019,2010-2019,20-25,27:24:09,1644.09
201,Francesco PANETTA,10/01/1963,ITA,3,Helsinki (FIN),29/06/1989,1188,26.0,1989,1980-1989,26-30,27:24:16,1644.16
202,Ondoro OSORO,03/12/1967,KEN,6,Bruxelles (BEL),03/09/1993,1188,26.0,1993,1990-1999,26-30,27:24:24,1644.24
203,Bobby CURTIS,28/11/1984,USA,2f1,"Palo Alto, CA (USA)",01/05/2011,1187,26.0,2011,2010-2019,26-30,27:24:67,1644.67
204,Sondre Nordstad MOEN,12/01/1991,NOR,1f1,Kristiansand (NOR),31/08/2019,1187,28.0,2019,2010-2019,26-30,27:24:78,1644.78
205,Hersuato MAMIYO,13/02/1982,ETH,2,Kobe (JPN),24/04/2016,1187,34.0,2016,2010-2019,31-35,27:24:85,1644.85
206,Werner SCHILDHAUER,05/06/1959,GDR,1,Jena (GDR),28/05/1983,1186,24.0,1983,1980-1989,20-25,27:24:95,1644.95
206,Ben ST. LAWRENCE,07/11/1981,AUS,3f1,"Palo Alto, CA (USA)",01/05/2011,1186,29.0,2011,2010-2019,26-30,27:24:95,1644.95
208,El Hassan EL ABBASSI,13/04/1984,BRN,7,"Hayward Field, Eugene, OR (USA)",29/05/2015,1186,31.0,2015,2010-2019,31-35,27:25:02,1645.02
209,Kipkemboi KIMELI,30/11/1966,KEN,3,"Olympic Stadium, Jamsil, Seoul (KOR)",26/09/1988,1186,22.0,1988,1980-1989,20-25,27:25:16,1645.16
210,Hammou BOUTAYEB,01/01/1956,MAR,2,Oslo (NOR),14/07/1990,1186,35.0,1990,1990-1999,31-35,27:25:48,1645.48
210,Mathias NTAWULIKURA,14/07/1964,RWA,6,Bruxelles (BEL),23/08/1996,1186,32.0,1996,1990-1999,31-35,27:25:48,1645.48
212,Robert Kipkorir KIPCHUMBA,24/02/1984,KEN,2,Bruxelles (BEL),24/08/2001,1186,17.0,2001,2000-2009,0-19,27:25:55,1645.55
213,Alberto SALAZAR,07/08/1958,USA,2,Oslo (NOR),26/06/1982,1185,24.0,1982,1980-1989,20-25,27:25:61,1645.61
214,Peter Cheruiyot KIRUI,02/01/1988,KEN,6,"DS, Daegu (KOR)",28/08/2011,1185,24.0,2011,2010-2019,20-25,27:25:63,1645.63
215,Tatsuhiko ITO,23/03/1998,JPN,2f2,"Nagai Stadium, Osaka (JPN)",04/12/2020,1185,22.0,2020,2020+,20-25,27:25:73,1645.73
216,Simon CHEMOIYWO,20/04/1968,KEN,1,"Knoxville, TN (USA)",06/04/1995,1185,27.0,1995,1990-1999,26-30,27:25:82,1645.82
217,Merga TULU,12/09/1999,ETH,1f7,Machida (JPN),24/11/2018,1185,19.0,2018,2010-2019,0-19,27:25:86,1645.86
218,Vincent Kipsegechi YATOR,11/07/1989,KEN,9,"Hayward Field, Eugene, OR (USA)",27/05/2016,1185,27.0,2016,2010-2019,26-30,27:25:94,1645.94
219,Hansjörg KUNZE,28/12/1959,GDR,4,Oslo (NOR),02/07/1988,1185,28.0,1988,1980-1989,26-30,27:26:00,1646.0
220,Saïd AOUITA,02/11/1959,MAR,1,Oslo (NOR),05/07/1986,1185,27.0,1986,1980-1989,26-30,27:26:11,1646.11
221,Khalid EL AMRI,20/03/1977,MAR,7,Hengelo (NED),29/05/2005,1184,28.0,2005,2000-2009,26-30,27:26:24,1646.24
222,Benard KIMELI,10/09/1995,KEN,2f7,Machida (JPN),24/11/2018,1184,23.0,2018,2010-2019,20-25,27:26:27,1646.27
223,Kamiel MAASE,20/10/1971,NED,10,Bruxelles (BEL),30/08/2002,1184,31.0,2002,2000-2009,31-35,27:26:29,1646.29
224,Silas KIPRUTO,26/09/1984,KEN,8,"Blankers-Koen Stadion, Hengelo (NED)",24/05/2008,1184,24.0,2008,2000-2009,20-25,27:26:31,1646.31
225,Mekubo MOGUSU,25/12/1986,KEN,1,Niigata (JPN),31/05/2009,1184,22.0,2009,2000-2009,20-25,27:26:56,1646.56
226,Sam ATKIN,14/03/1993,GBR,4f2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1184,27.0,2020,2020+,26-30,27:26:58,1646.58
227,Jacob KIPLIMO,14/11/2000,UGA,3,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",19/07/2016,1184,16.0,2016,2010-2019,0-19,27:26:68,1646.68
228,Johana MAINA,24/12/1990,KEN,2f7,Hachioji (JPN),28/11/2015,1183,25.0,2015,2010-2019,20-25,27:26:92,1646.92
229,Alex HAGELSTEENS,15/07/1956,BEL,3,Oslo (NOR),26/06/1982,1183,26.0,1982,1980-1989,26-30,27:26:95,1646.95
230,Chris THOMPSON,17/04/1981,GBR,4f1,"Palo Alto, CA (USA)",01/05/2011,1183,30.0,2011,2010-2019,26-30,27:27:36,1647.36
231,Hunegnaw MESFIN,31/01/1989,ETH,5f1,Neerpelt (BEL),31/05/2008,1182,19.0,2008,2000-2009,0-19,27:27:57,1647.57
232,Geoffrey MUTAI,07/10/1981,KEN,2,Nairobi (KEN),26/06/2010,1182,29.0,2010,2010-2019,26-30,27:27:79,1647.79
233,Juan Carlos DE LA OSSA,25/11/1976,ESP,1,Barakaldo (ESP),02/04/2005,1182,28.0,2005,2000-2009,26-30,27:27:80,1647.8
234,Elijah KORIR,15/04/1978,KEN,5,Bruxelles (BEL),22/08/1997,1182,19.0,1997,1990-1999,0-19,27:27:87,1647.87
235,Joseph KIMANI,21/09/1972,KEN,2,"Knoxville, TN (USA)",06/04/1995,1182,23.0,1995,1990-1999,20-25,27:28:07,1648.07
236,Nguse AMLOSOM,10/11/1986,ERI,2,Wageningen (NED),30/05/2012,1181,26.0,2012,2010-2019,26-30,27:28:10,1648.1
237,Atsedu TSEGAY,17/12/1991,ETH,5,Sollentuna (SWE),27/06/2013,1181,22.0,2013,2010-2019,20-25,27:28:11,1648.11
238,Marilson GOMES DOS SANTOS,06/08/1977,BRA,4,Neerpelt (BEL),02/06/2007,1181,30.0,2007,2000-2009,26-30,27:28:12,1648.12
239,Tim NELSON,27/02/1984,USA,5f1,"Palo Alto, CA (USA)",01/05/2011,1181,27.0,2011,2010-2019,26-30,27:28:19,1648.19
240,Matt TEGENKAMP,19/01/1982,USA,6f1,"Palo Alto, CA (USA)",01/05/2011,1181,29.0,2011,2010-2019,26-30,27:28:22,1648.22
241,Jeremiah KAREMI,07/07/1994,KEN,2f1,Abashiri (JPN),06/07/2014,1181,20.0,2014,2010-2019,20-25,27:28:27,1648.27
